0.0154201,-0.975145,-0.00878829,13
0.0252857,-0.961479,0.0643247,14
0.0329963,-0.935279,0.0950065,14
0.0365627,-0.912762,0.116788,15
0.035418,-0.902195,0.134395,15
0.0312566,-0.893317,0.127494,15
0.0233404,-0.876392,0.11058,15
0.0173062,-0.862499,0.0525665,15
0.0345487,-0.854892,-0.034441,15
0.0635857,-0.852863,-0.124174,15
0.13211,-0.851945,-0.158306,15
0.235662,-0.84379,-0.186334,14
0.270498,-0.829087,-0.200282,14
0.301177,-0.813285,-0.194181,14
0.318952,-0.795197,-0.175796,13
0.321559,-0.782486,-0.160718,14
0.328442,-0.77443,-0.100129,14
0.325237,-0.770306,-0.00801233,14
0.308223,-0.774577,0.0315141,15
0.338671,-0.786579,0.0676183,15
0.392858,-0.811305,0.0774928,16
0.411927,-0.840968,0.072081,16
0.419564,-0.877223,0.0658913,16
0.411872,-0.892677,0.0514503,16
0.398243,-0.897418,0.0163179,15
0.389032,-0.89628,-0.0434205,15
0.369037,-0.891147,-0.0974803,15
0.264931,-0.903563,-0.15767,14
0.108149,-0.913895,-0.193549,14
-0.021653,-0.924012,-0.206066,13
