1.31115,2.15305,1.96243,9.41582,0.964125,5.82975
1.2268,8.28034,0.772769,1.45158,1.40033,2.81027
1.07719,6.65905,0.598952,0.940522,0.789638,1.68563
0.773052,1.23391,1.15575,8.16024,0.625705,4.96833
0.910932,4.43975,1.44983,6.28346,0.797813,4.05291
1.40255,5.53766,1.0889,5.31883,1.12467,3.85421
1.7211,5.55311,1.91003,6.91975,1.37786,4.44374
1.74165,7.05507,1.9036,9.16635,1.20113,3.81891
1.81149,9.6724,1.55051,8.17683,1.27458,5.58418
1.64655,5.04234,1.92324,7.40027,1.10264,4.0137
1.83028,5.19314,1.81163,5.19207,1.09522,3.82974
1.98671,9.2112,1.49168,5.20071,1.20161,5.11005
1.85351,8.69663,1.77125,6.57849,1.4583,4.75855
2.03786,6.56438,2.21092,6.6596,1.10264,3.68742
1.7281,7.45297,1.19781,7.53866,0.871049,5.11495
2.54452,12.1582,1.72731,5.55227,1.35522,4.79739
1.82273,6.34419,2.18731,8.37832,1.26441,5.08346
1.79688,3.15861,1.61998,10.1421,2.37515,12.679
1.83143,6.37189,1.27508,2.96714,2.28123,5.50493
1.68887,6.77283,1.14624,3.04598,1.95901,5.79638
