0,0.0541274,-0.978836,-0.250213,0
0.0504092,0.0624966,-0.965299,-0.182718,0
0.11748,0.0370562,-0.96853,-0.111539,0
0.184781,0.0357429,-0.969586,-0.0633328,0
0.251965,0.0233884,-0.931649,-0.0655239,0
0.319205,0.0153019,-0.826203,-0.0757783,0
0.369605,-0.0213986,-0.624514,-0.116399,0
0.43666,0.0178236,-0.420303,-0.0985541,0
0.50419,0.0889789,-0.494789,-0.118606,0
0.571574,0.0636714,-0.783604,-0.0972714,0
0.638725,0.0198121,-1.0884,-0.108923,0
0.689131,-0.00585779,-1.29149,-0.148533,0
0.756547,-0.0656331,-1.35209,-0.239214,0
0.823465,-0.114013,-1.29228,-0.32634,0
0.890714,-0.148073,-1.18958,-0.332348,0
0.958328,-0.204921,-1.10589,-0.342647,0
1.00868,-0.281539,-1.02394,-0.321459,0
1.07627,-0.383169,-0.971949,-0.31714,0
1.14301,-0.459805,-0.939392,-0.313578,0
1.21026,-0.471574,-0.923828,-0.332633,0
1.27753,-0.425758,-0.935082,-0.372375,0
1.32789,-0.275124,-0.946228,-0.429279,0
1.39513,-0.0295451,-0.925368,-0.452794,0
1.46245,0.198787,-0.923918,-0.438265,0
1.52967,0.345413,-0.954283,-0.413324,0
1.59677,0.417386,-0.946924,-0.371549,0
1.64722,0.378863,-0.928444,-0.303776,0
1.71438,0.263909,-0.962209,-0.276246,0
1.78127,0.124425,-0.978652,-0.219955,0
1.84888,0.0403699,-0.950522,-0.162771,0
